open;high;low;close;volume;time;datetime;Time2;fvg_bearish;fvg_bullish;fvg_bearish_high;fvg_bearish_low;fvg_bullish_high;fvg_bullish_low
0.0076322;0.0076425;0.0076175;0.0076186;4343101.0;1714290840000;2024-04-28 07:54:00+00:00;2024-04-28 07:54:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0076187;0.0076342;0.0076155;0.0076188;2508739.0;1714291020000;2024-04-28 07:57:00+00:00;2024-04-28 07:57:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0076189;0.0076564;0.0076189;0.0076563;8493512.0;1714291200000;2024-04-28 08:00:00+00:00;2024-04-28 08:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0076564;0.0076641;0.0075978;0.0076077;5637906.0;1714291380000;2024-04-28 08:03:00+00:00;2024-04-28 08:03:00+00:00;1.0;0.0;0.0076189;0.0076096;0.0;0.0
0.0076077;0.0076096;0.0075767;0.007581;9763534.0;1714291560000;2024-04-28 08:06:00+00:00;2024-04-28 08:06:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075809;0.0076091;0.0075689;0.0076027;28409298.0;1714291740000;2024-04-28 08:09:00+00:00;2024-04-28 08:09:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0076028;0.0076217;0.0076026;0.0076182;4281676.0;1714291920000;2024-04-28 08:12:00+00:00;2024-04-28 08:12:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0076187;0.0076249;0.0075841;0.0075987;8586146.0;1714292100000;2024-04-28 08:15:00+00:00;2024-04-28 08:15:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075985;0.0076169;0.007591;0.0075948;2937352.0;1714292280000;2024-04-28 08:18:00+00:00;2024-04-28 08:18:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075987;0.0076057;0.0075867;0.0076057;5229746.0;1714292460000;2024-04-28 08:21:00+00:00;2024-04-28 08:21:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0076047;0.0076184;0.0075925;0.0076079;6780333.0;1714292640000;2024-04-28 08:24:00+00:00;2024-04-28 08:24:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0076079;0.0076156;0.0075937;0.0075937;2746080.0;1714292820000;2024-04-28 08:27:00+00:00;2024-04-28 08:27:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075941;0.0075965;0.0075676;0.0075706;7234885.0;1714293000000;2024-04-28 08:30:00+00:00;2024-04-28 08:30:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075707;0.0075978;0.0075701;0.0075978;4428789.0;1714293180000;2024-04-28 08:33:00+00:00;2024-04-28 08:33:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075977;0.0075978;0.0075312;0.0075374;9740772.0;1714293360000;2024-04-28 08:36:00+00:00;2024-04-28 08:36:00+00:00;1.0;0.0;0.0075701;0.0075451;0.0;0.0
0.0075362;0.0075451;0.007503;0.0075234;5068261.0;1714293540000;2024-04-28 08:39:00+00:00;2024-04-28 08:39:00+00:00;1.0;0.0;0.0075312;0.0075297;0.0;0.0
0.0075234;0.0075297;0.0074961;0.007503;21025903.0;1714293720000;2024-04-28 08:42:00+00:00;2024-04-28 08:42:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.007503;0.0075397;0.0075026;0.0075383;18039616.0;1714293900000;2024-04-28 08:45:00+00:00;2024-04-28 08:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075383;0.0075445;0.0075258;0.0075442;15291528.0;1714294080000;2024-04-28 08:48:00+00:00;2024-04-28 08:48:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075439;0.0075484;0.0075299;0.0075318;7110048.0;1714294260000;2024-04-28 08:51:00+00:00;2024-04-28 08:51:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075317;0.0075325;0.0075131;0.0075151;5944778.0;1714294440000;2024-04-28 08:54:00+00:00;2024-04-28 08:54:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.007515;0.0075302;0.0075143;0.0075186;10936191.0;1714294620000;2024-04-28 08:57:00+00:00;2024-04-28 08:57:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075186;0.0075354;0.0075113;0.0075312;19967178.0;1714294800000;2024-04-28 09:00:00+00:00;2024-04-28 09:00:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.007531;0.0075414;0.0075287;0.0075308;11242945.0;1714294980000;2024-04-28 09:03:00+00:00;2024-04-28 09:03:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075307;0.0075504;0.0075198;0.0075457;5761883.0;1714295160000;2024-04-28 09:06:00+00:00;2024-04-28 09:06:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075455;0.0075541;0.0075371;0.0075372;4074201.0;1714295340000;2024-04-28 09:09:00+00:00;2024-04-28 09:09:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075374;0.0075473;0.007537;0.0075461;3431080.0;1714295520000;2024-04-28 09:12:00+00:00;2024-04-28 09:12:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075462;0.0075511;0.0074962;0.0075012;6193109.0;1714295700000;2024-04-28 09:15:00+00:00;2024-04-28 09:15:00+00:00;1.0;0.0;0.007537;0.0075185;0.0;0.0
0.0075012;0.0075185;0.007501;0.0075185;3592853.0;1714295880000;2024-04-28 09:18:00+00:00;2024-04-28 09:18:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075184;0.0075204;0.007505;0.0075101;4522760.0;1714296060000;2024-04-28 09:21:00+00:00;2024-04-28 09:21:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075101;0.0075257;0.00751;0.0075196;3158277.0;1714296240000;2024-04-28 09:24:00+00:00;2024-04-28 09:24:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075195;0.0075236;0.0075161;0.0075223;2394422.0;1714296420000;2024-04-28 09:27:00+00:00;2024-04-28 09:27:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0075223;0.0075254;0.0075027;0.0075114;3637577.0;1714296600000;2024-04-28 09:30:00+00:00;2024-04-28 09:30:00+00:00;1.0;0.0;0.0075161;0.0075131;0.0;0.0
0.0075083;0.0075131;0.0074434;0.0074765;18389040.0;1714296780000;2024-04-28 09:33:00+00:00;2024-04-28 09:33:00+00:00;1.0;0.0;0.0075027;0.0074862;0.0;0.0
0.0074767;0.0074862;0.0074633;0.0074836;5148307.0;1714296960000;2024-04-28 09:36:00+00:00;2024-04-28 09:36:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074836;0.0074851;0.0074534;0.0074643;15541141.0;1714297140000;2024-04-28 09:39:00+00:00;2024-04-28 09:39:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074644;0.0074717;0.0074621;0.0074665;4532920.0;1714297320000;2024-04-28 09:42:00+00:00;2024-04-28 09:42:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
0.0074666;0.0074702;0.007432;0.0074623;30187657.0;1714297500000;2024-04-28 09:45:00+00:00;2024-04-28 09:45:00+00:00;0.0;0.0;0.0;0.0;0.0;0.0
